date,form_type,accession_number,lm_positive,lm_negative,lm_uncertain,lm_litigious,lm_constraining,lm_pos_pct,lm_neg_pct,lm_uncertain_pct,lm_sentiment_score,total_words
2014-05-06,8-K,0001193125-14-184969,1,1,12,2,1,0.1684,0.1684,2.0202,0.0,594
2014-05-30,8-K,0001181431-14-021923,0,1,12,3,4,0.0,0.2169,2.603,-0.2169,461
2014-06-06,8-K,0001193125-14-228798,3,3,2,2,2,1.1673,1.1673,0.7782,0.0,257
2014-07-17,8-K,0001193125-14-271698,0,1,6,2,2,0.0,0.295,1.7699,-0.295,339
2014-07-22,8-K,0001193125-14-275598,0,1,2,2,3,0.0,0.3623,0.7246,-0.3623,276
2014-07-23,8-K,0001193125-14-277193,1,1,2,2,1,0.5435,0.5435,1.087,0.0,184
2014-07-23,10-Q,0001193125-14-277160,154,102,126,26,25,1.9476,1.29,1.5935,0.6576,7907
2014-10-20,8-K,0001193125-14-376361,0,1,2,2,3,0.0,0.3831,0.7663,-0.3831,261
2014-10-27,10-K,0001193125-14-383437,5,4,25,2,6,0.6227,0.4981,3.1133,0.1245,803
2014-11-10,8-K,0001193125-14-406296,1,1,2,2,1,0.2571,0.2571,0.5141,0.0,389
2015-01-27,8-K,0001193125-15-021857,0,1,2,2,3,0.0,0.3846,0.7692,-0.3846,260
